Date,Open,High,Low,Close,Volume
2011-01-03,79.19,79.42,78.96,78.99,3059709
2011-01-04,78.59,79.48,78.4,79.12,3658989
2011-01-05,78.59,79.56,78.59,79.23,2820689
2011-01-06,79.41,79.75,79.04,79.15,3486345
2011-01-07,79.14,79.69,78.63,79.08,2772109
2011-01-10,78.27,78.69,77.81,78.46,3301579
2011-01-11,78.6,79.18,78.47,78.92,3475012
2011-01-12,79.57,79.9,79.24,79.43,3242125
2011-01-13,79.49,79.76,79.15,79.5,2694405
2011-01-14,79.2,79.31,78.69,79.08,4632643
2011-01-18,79.28,79.75,79.19,79.57,3794700
2011-01-19,79.67,80.0,79.17,79.91,4114511
2011-01-20,79.62,79.91,78.98,79.55,3942452
2011-01-21,79.9,80.5,79.76,80.2,4620271
2011-01-24,80.26,81.54,80.26,81.52,4742375
2011-01-25,81.46,81.73,80.88,81.73,4495680
2011-01-26,81.68,81.95,80.76,81.41,5314122
2011-01-27,81.94,82.99,81.8,82.59,4449930
2011-01-28,82.87,83.08,80.71,81.43,4563581
2011-01-31,81.8,81.99,80.66,81.3,4292697
2011-02-01,81.63,82.06,81.43,81.83,3524691
2011-02-02,81.84,82.54,81.68,82.16,2759465
2011-02-03,82.16,82.31,81.58,82.22,2277814
2011-02-04,82.33,82.6,82.01,82.52,2834362
2011-02-07,82.85,83.82,82.73,83.66,3573499
2011-02-08,83.11,83.94,83.1,83.88,2576476
2011-02-09,83.72,84.0,83.22,83.98,3089397
2011-02-10,84.37,85.15,84.34,84.75,4426406
2011-02-11,84.64,85.46,84.46,85.2,2975370
2011-02-14,85.07,85.44,84.9,85.21,2787506
2011-02-15,85.11,85.11,84.49,84.93,2818032
2011-02-16,84.86,85.13,84.41,85.06,2999431
2011-02-17,84.67,85.0,84.25,84.54,3317701
2011-02-18,84.74,85.03,84.58,85.01,3808921
2011-02-22,84.54,84.69,83.18,83.56,4174195
2011-02-23,83.76,84.25,82.25,82.79,5237180
2011-02-24,82.62,83.38,81.81,82.72,3532590
